ID, walk1, walk2, walk3, walk4, walk5, walk6, walk7, walk8, walk9, walk10, walk11, walk12, walk13, walk14, walk15, walk16, walk17, walk18, walk19, walk20, walk21, walk22, walk23, walk24, walk25, walk26
S005,-1, 0 0, 0.05 0.05, 0.125 0.125, 0.2 0.2, 0.05 0.2, 0.2 0.05,-1, 3m, 6m, 9m, 12m, 0.11 0.11, 0.18 0.18, 0.11 0.18, 0.18 0.11, 0.04 0.18, 0.18 0.04, 0.04 0.11, 0.11 0.04, 10m, 15m, null, null, null, null
S006,-1, 0 0, 0.05 0.05, 0.125 0.125, 0.2 0.2, 0.05 0.2, 0.2 0.05, 0.125 0.2,-1, null, 6m, 9m, 12m, 3m, 0.11 0.11, 0.18 0.18, 0.11 0.18, 0.18 0.11, 0.04 0.18, 0.18 0.04, 0.04 0.11, 0.04 0.04, 0.11 0.04, 5m, 10m, 15m
S008,-1, 0 0, 0.11 0.11, 0.18 0.18, 0.11 0.18, 0.18 0.11, 0.18 0.04, 0.04 0.18,-1, 0.18 0.18, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.04 0.04, 0.04 0.11,-1, 10m, 0.11 0.04, 5m, 0.11 0.11, 15m, null, null, null, null
S009,-1, 0 0, 0.11 0.11, 0.18 0.18, 0.11 0.18, 0.18 0.04, 0.04 0.18,-1, 5m, 10m, 0.11 0.04, 15m, 0.04 0.11, 0.222 0.18, 0.11 0.11, 0.04 0.18, 0.04 0.04, 0.11 0.18, 0.18 0.11, 0.18 0.04, 0.11 0.04, null, null, null, null, null
S010,-1, 0 0, 0.11 0.11, 0.18 0.18, 0.04 0.18, 0.11 0.18, 0.18 0.11,-1, 0.11 0.04, 5m, 10m, 15m, 0.11 0.18, 0.04 0.11, 0.18 0.11, 0.04 0.18, 0.11 0.11, 0.18 0.18, 0.04 0.04, 0.18 0.04, 15m, null, null, null, null, null
S017,-1, 0 0, 0.11 0.11, 0.04 0.18, 0.11 0.04, 0.04 0.11, 0.04 0.04,-1, 0.04 0.04, 0.04 0.11, 0.11 0.11, 0.18 0.04, 0.04 0.18, 0.18 0.11, 0.11 0.18, 0.18 0.18,-1, 10m, 5m, 0.11 0.04, 0.18 0.04, 15m, 0.04 0.11, null, null, null
S018,-1, 0 0, 0.04 0.11, 0.11 0.04, 0.11 0.11, 0.18 0.04, 0.04 0.18, 0.18 0.11,-1, 0.04 0.11, 0.04 0.18, 0.18 0.11, 0.11 0.11, 0.18 0.04, 0.04 0.04, 0.11 0.18, 0.18 0.18,-1, 10m, 5m, 0.11 0.04, 0.04 0.18, 15m, null, null, null
S020,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.11 0.04, 0.04 0.11, 5m, 10m, 15m,-1, 0.11 0.18, 0.18 0.04, 0.11 0.11,0.04 0.18, 0.18 0.11, 0.18 0.18, 0.04 0.04, null, null, null, null
S021,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.18 0.11, 0.18 0.18, 0.18 0.04, 0.11 0.11, 0.04 0.18, 0.04 0.04, 0.11 0.18,-1, 0.11 0.04, 0.04 0.11, 15m, 5m, 10m, null, null, null, null
S022,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18,-1, 0.04 0.18, 0.11 0.11, 0.18 0.04, 0.11 0.18, 0.18 0.18, 0.04 0.04, 0.18 0.11,-1, 0.11 0.04, 0.04 0.11, 10m, 15m, 5m, null, null, null, null, null
S023,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.11 0.04, 0.04 0.11, 15m, 10m, 5m,-1, 0.11 0.18, 0.11 0.11, 0.18 0.04, 0.04 0.04, 0.18 0.18, 0.18 0.11, 0.04 0.18, null, null, null, null
S024,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.18 0.04, 0.04 0.18, 0.11 0.18, 0.18 0.18, 0.18 0.11, 0.04 0.04, 0.11 0.11,-1, 0.04 0.11, 0.11 0.04, 5m, 10m, 15m, null, null, null, null
S025,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.11 0.18, 0.18 0.04, 0.11 0.11, 0.04 0.18, 0.18 0.18, 0.18 0.11, 0.04 0.04,-1, 0.04 0.11, 0.11 0.04,10m,-1, 10m, 15m, 5m, null, null
S026,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1,-1, 0.11 0.04, 0.04 0.11, 15m, 5m, 10m,-1, 0.04 0.04, 0.04 0.18, 0.11 0.11, 0.18 0.11, 0.18 0.04, 0.18 0.18, 0.11 0.18, null, null, null
S027,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.04 0.04, 0.11 0.18, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.18 0.18, 0.04 0.18,-1, 0.11 0.04, 0.04 0.11, 15m, 10m, 5m, null, null, null, null
S028,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.04 0.18, 0.18 0.18,-1, 0.04 0.18, 0.11 0.11, 0.18 0.11, 0.18 0.04, 0.11 0.18, 0.04 0.04, 0.18 0.18,-1, 0.11 0.04, 0.04 0.11, 10m, 5m, 15m, null, null, null, null
S029,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.04 0.11, 0.11 0.04, 15m, 5m, 10m,-1, 0.18 0.04, 0.11 0.11, 0.18 0.11, 0.04 0.04, 0.18 0.18, 0.04 0.18, 0.11 0.18, null, null, null, null
S030,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.11 0.18, 0.18 0.04, 0.11 0.11, 0.04 0.18, 0.18 0.11, 0.18 0.18, 0.04 0.04,-1, 0.11 0.04, 0.04 0.11, 10m, 5m, 15m, null, null, null, null
S031,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.11 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.04, 0.18 0.18, 0.18 0.11, 0.04 0.04,-1, 0.04 0.11, 0.11 0.04, 15m, 10m, 5m, null, null, null, null
S032,-1, 0 0, 0.11 0.11, 0.18 0.04, 0.18 0.11, 0.04 0.18, 0.11 0.18, 0.18 0.18,-1, 0.18 0.04, 0.04 0.18, 0.04 0.04, 0.11 0.11, 0.18 0.11, 0.18 0.18, 0.11 0.18,-1, 0.11 0.04, 0.04 0.11, 5m, 15m, 10m, null, null, null, null
